iso3;location;region;hrp_location;indicator_name;indicator_source;indicator_id;date;alert_level;value;plot;map;plot2;other_images;summary_long;summary_short;summary_source;hdx_url;source_url;other_urls;further_information;campaign_url;campaign_date;signals_version
CMR;Cameroon;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2020-10-01;High concern;36;https://mcusercontent.com/ea3f905d50ea939780139789d/images/147bdfe0-7f74-a8b5-bf23-7d65063bfa62.png;;;;;36% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfC6#CMR;2020-10-01;0.1.0
CMR;Cameroon;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2021-09-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/8f7dce6e-544b-7086-9fc5-578787c0e1f3.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEQ#CMR;2021-09-01;0.1.0
CMR;Cameroon;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2021-11-01;High concern;54;https://mcusercontent.com/ea3f905d50ea939780139789d/images/13740c76-3d2b-f47e-17ea-3d49e1165679.png;;;;;54% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEY#CMR;2021-11-01;0.1.0
CMR;Cameroon;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2022-11-01;Medium concern;14;https://mcusercontent.com/ea3f905d50ea939780139789d/images/d39e7084-dee0-c643-a692-f484b426f1fb.png;;;;;14% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfHs#CMR;2022-11-01;0.1.0
COD;Democratic Republic of the Congo;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2021-04-01;High concern;33;https://mcusercontent.com/ea3f905d50ea939780139789d/images/e745dc02-5240-9e47-5323-0e9bf931c106.png;;;;;33% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDY#COD;2021-04-01;0.1.0
COD;Democratic Republic of the Congo;West and Central Africa;True;market_monitor;wfp;wfp_market_monitor;2022-03-01;Medium concern;16;https://mcusercontent.com/ea3f905d50ea939780139789d/images/38bde2a5-6319-b25c-2bcc-a0a4baf5b354.png;;;;;16% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfGc#COD;2022-03-01;0.1.0
DJI;Djibouti;Southern and Eastern Africa;False;market_monitor;wfp;wfp_market_monitor;2021-11-01;Medium concern;10;https://mcusercontent.com/ea3f905d50ea939780139789d/images/20e80912-efbc-9f03-0875-da8c4b064774.png;;;;;10% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEY#DJI;2021-11-01;0.1.0
DJI;Djibouti;Southern and Eastern Africa;False;market_monitor;wfp;wfp_market_monitor;2022-09-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/0c40e8ca-a9f0-05e1-b273-4715fb04daab.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfHg#DJI;2022-09-01;0.1.0
DOM;Dominican Republic;Latin America and the Caribbean;False;market_monitor;wfp;wfp_market_monitor;2020-10-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/ac720dc4-5a2c-2616-97d1-59de6cecfeba.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfC6#DOM;2020-10-01;0.1.0
EGY;Egypt;Middle East and North Africa;False;market_monitor;wfp;wfp_market_monitor;2022-03-01;Medium concern;17;https://mcusercontent.com/ea3f905d50ea939780139789d/images/5a2c7b7a-9325-4a1a-9b0f-a03d2ea718e8.png;;;;;17% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfGc#EGY;2022-03-01;0.1.0
ETH;Ethiopia;Southern and Eastern Africa;True;market_monitor;wfp;wfp_market_monitor;2021-04-01;Medium concern;15;https://mcusercontent.com/ea3f905d50ea939780139789d/images/db78b2d8-3fe7-5a16-934c-953b1c9fd166.png;;;;;15% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDY#ETH;2021-04-01;0.1.0
ETH;Ethiopia;Southern and Eastern Africa;True;market_monitor;wfp;wfp_market_monitor;2022-01-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/55611480-86e6-bf8c-ccd0-9c0abc8940a6.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfFw#ETH;2022-01-01;0.1.0
ETH;Ethiopia;Southern and Eastern Africa;True;market_monitor;wfp;wfp_market_monitor;2023-05-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/f2ef2a67-d336-49db-257f-4ce6732939ae.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfIo#ETH;2023-05-01;0.1.0
ETH;Ethiopia;Southern and Eastern Africa;True;market_monitor;wfp;wfp_market_monitor;2023-12-01;Medium concern;12;https://mcusercontent.com/ea3f905d50ea939780139789d/images/dde8c910-6918-7f7d-8c51-8523d7a41523.png;;;;;12% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfJA#ETH;2023-12-01;0.1.0
GHA;Ghana;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2020-10-01;High concern;35;https://mcusercontent.com/ea3f905d50ea939780139789d/images/4070bec0-efb2-b62e-63c8-aab9c815d6af.png;;;;;35% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfC6#GHA;2020-10-01;0.1.0
GHA;Ghana;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2021-06-01;Medium concern;16;https://mcusercontent.com/ea3f905d50ea939780139789d/images/67388640-a1c3-f776-5206-1fd0a0cef748.png;;;;;16% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEs#GHA;2021-06-01;0.1.0
GHA;Ghana;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2022-03-01;Medium concern;13;https://mcusercontent.com/ea3f905d50ea939780139789d/images/c4d9bd0e-fb43-7e37-0e74-a2ad737ae5a6.png;;;;;13% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfGc#GHA;2022-03-01;0.1.0
GHA;Ghana;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2022-11-01;Medium concern;18;https://mcusercontent.com/ea3f905d50ea939780139789d/images/96f7de79-03c3-9af1-d834-34e6edb6deb5.png;;;;;18% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfHs#GHA;2022-11-01;0.1.0
GMB;Gambia;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2021-01-01;Medium concern;16;https://mcusercontent.com/ea3f905d50ea939780139789d/images/f9c16715-f410-c562-677e-277399de5241.png;;;;;16% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDw#GMB;2021-01-01;0.1.0
GMB;Gambia;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2022-01-01;Medium concern;22;https://mcusercontent.com/ea3f905d50ea939780139789d/images/060e616f-913c-a768-2317-491ff7f84c8b.png;;;;;22% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfFw#GMB;2022-01-01;0.1.0
GMB;Gambia;West and Central Africa;False;market_monitor;wfp;wfp_market_monitor;2023-06-01;Medium concern;21;https://mcusercontent.com/ea3f905d50ea939780139789d/images/3b077244-9687-e238-ca98-ea3c001c61e6.png;;;;;21% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfIA#GMB;2023-06-01;0.1.0
HND;Honduras;Latin America and the Caribbean;True;market_monitor;wfp;wfp_market_monitor;2020-11-01;Medium concern;20;https://mcusercontent.com/ea3f905d50ea939780139789d/images/c913cd76-baef-3d4b-3c28-87cf91eb8885.png;;;;;20% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDc#HND;2020-11-01;0.1.0
HND;Honduras;Latin America and the Caribbean;True;market_monitor;wfp;wfp_market_monitor;2021-08-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/75ded13b-0c08-d982-6de4-db453a3fd825.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEE#HND;2021-08-01;0.1.0
HTI;Haiti;Latin America and the Caribbean;True;market_monitor;wfp;wfp_market_monitor;2022-09-01;Medium concern;15;https://mcusercontent.com/ea3f905d50ea939780139789d/images/4a1be89b-e1dc-8916-648b-ed91faf3fd06.png;;;;;15% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfHg#HTI;2022-09-01;0.1.0
IRN;Iran (Islamic Republic of);Asia and the Pacific;False;market_monitor;wfp;wfp_market_monitor;2024-01-01;Medium concern;17;https://mcusercontent.com/ea3f905d50ea939780139789d/images/cfaa2095-4f84-f8e7-e74d-3480e4dc9c3c.png;;;;;17% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfJQ#IRN;2024-01-01;0.1.0
IRN;Iran (Islamic Republic of);Asia and the Pacific;False;market_monitor;wfp;wfp_market_monitor;2024-04-01;High concern;31;https://mcusercontent.com/ea3f905d50ea939780139789d/images/05cbc63a-8744-9e2a-a7c5-4aef22c819da.png;;;;;31% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfKo#IRN;2024-04-01;0.1.0
IRQ;Iraq;Middle East and North Africa;False;market_monitor;wfp;wfp_market_monitor;2021-01-01;Medium concern;10;https://mcusercontent.com/ea3f905d50ea939780139789d/images/39aa94c5-9491-5bb0-215c-eae76775472f.png;;;;;10% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDw#IRQ;2021-01-01;0.1.0
KGZ;Kyrgyzstan;Asia and the Pacific;False;market_monitor;wfp;wfp_market_monitor;2022-11-01;Medium concern;18;https://mcusercontent.com/ea3f905d50ea939780139789d/images/b67ecb2f-a148-3c1d-5444-d20cfdbe7a63.png;;;;;18% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfHs#KGZ;2022-11-01;0.1.0
LBN;Lebanon;Middle East and North Africa;False;market_monitor;wfp;wfp_market_monitor;2021-01-01;High concern;33;https://mcusercontent.com/ea3f905d50ea939780139789d/images/656068d7-d1ad-70a3-b320-6e37569339ad.png;;;;;33% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDw#LBN;2021-01-01;0.1.0
LBN;Lebanon;Middle East and North Africa;False;market_monitor;wfp;wfp_market_monitor;2021-12-01;Medium concern;18;https://mcusercontent.com/ea3f905d50ea939780139789d/images/d4f35218-3cfe-f3b8-1559-0eb523c9e583.png;;;;;18% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfE-/#LBN;2021-12-01;0.1.0
LBY;Libya;Middle East and North Africa;False;market_monitor;wfp;wfp_market_monitor;2021-02-01;Medium concern;18;https://mcusercontent.com/ea3f905d50ea939780139789d/images/4b8fc223-cdd2-4d9c-3110-4d1dd899853a.png;;;;;18% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfDQ#LBY;2021-02-01;0.1.0
LKA;Sri Lanka;Asia and the Pacific;False;market_monitor;wfp;wfp_market_monitor;2021-11-01;Medium concern;11;https://mcusercontent.com/ea3f905d50ea939780139789d/images/8829e222-02d4-713b-2599-adf7ab6a6138.png;;;;;11% increase in the cost of the food basket;;https://data.humdata.org/dataset/global-market-monitor;https://www.wfp.org/publications/market-monitor;;"Access the data directly <a href=""https://data.humdata.org/dataset/global-market-monitor"">on HDX</a> and see the <a href=""https://www.wfp.org/publications/market-monitor"">WFP Global Market Monitor</a> to access source reports and visit the live explorer.";http://eepurl.com/iRAfEY#LKA;2021-11-01;0.1.0
